time,open,high,low,close,tick_volume,spread,real_volume
2026-04-02 21:15:00,4653.55,4656.65,4649.92,4651.57,4801,4,0
2026-04-02 21:30:00,4651.57,4663.49,4651.57,4662.58,4523,4,0
2026-04-02 21:45:00,4662.58,4672.06,4661.95,4668.51,4531,4,0
2026-04-02 22:00:00,4668.51,4681.85,4668.5,4674.52,4556,4,0
2026-04-02 22:15:00,4674.52,4678.07,4664.3,4665.22,5668,4,0
2026-04-02 22:30:00,4665.22,4668.25,4661.44,4665.95,4973,4,0
2026-04-02 22:45:00,4665.95,4676.39,4665.75,4671.97,5161,4,0
2026-04-06 01:00:00,4649.61,4664.85,4613.22,4629.83,5920,4,0
2026-04-06 01:15:00,4629.74,4642.3,4629.74,4636.22,4356,4,0
2026-04-06 01:30:00,4636.3,4646.16,4632.08,4642.66,4043,4,0
2026-04-06 01:45:00,4642.66,4654.61,4608.05,4645.67,6330,4,0
2026-04-06 02:00:00,4645.67,4651.05,4626.9,4632.49,4671,4,0
2026-04-06 02:15:00,4632.49,4634.09,4609.42,4609.8,3729,4,0
2026-04-06 02:30:00,4609.8,4617.18,4605.09,4607.07,4057,4,0
2026-04-06 02:45:00,4607.09,4619.27,4607.03,4610.5,3768,4,0
2026-04-06 03:00:00,4610.5,4626.78,4607.12,4626.07,5308,4,0
2026-04-06 03:15:00,4626.07,4629.44,4600.76,4603.39,5291,4,0
2026-04-06 03:30:00,4603.39,4621.58,4603.08,4619.11,4662,4,0
2026-04-06 03:45:00,4619.11,4626.21,4615.83,4622.3,3607,4,0
2026-04-06 04:00:00,4622.33,4643.0,4622.33,4641.77,4582,4,0
2026-04-06 04:15:00,4641.76,4643.13,4620.45,4641.14,4736,4,0
2026-04-06 04:30:00,4641.26,4641.47,4623.61,4627.83,4167,4,0
2026-04-06 04:45:00,4627.83,4628.82,4621.51,4625.88,3509,4,0
2026-04-06 05:00:00,4625.88,4640.21,4623.66,4636.29,4483,4,0
2026-04-06 05:15:00,4636.29,4671.95,4636.29,4661.13,5600,4,0
2026-04-06 05:30:00,4661.13,4666.6,4644.38,4651.1,4368,4,0
2026-04-06 05:45:00,4651.1,4656.2,4647.17,4648.0,4014,4,0
2026-04-06 06:00:00,4648.0,4648.05,4628.8,4633.31,4343,4,0
2026-04-06 06:15:00,4633.31,4636.37,4625.3,4630.34,4038,4,0
2026-04-06 06:30:00,4630.34,4633.45,4625.51,4632.57,3618,4,0
2026-04-06 06:45:00,4632.57,4642.13,4630.52,4640.52,3088,4,0
2026-04-06 07:00:00,4640.52,4648.58,4639.97,4643.48,3207,4,0
2026-04-06 07:15:00,4643.48,4646.7,4641.25,4646.69,2572,4,0
2026-04-06 07:30:00,4646.69,4651.11,4642.97,4648.91,2616,4,0
2026-04-06 07:45:00,4648.91,4659.86,4646.86,4659.08,2854,4,0
2026-04-06 08:00:00,4659.1,4676.96,4657.93,4673.73,3858,4,0
2026-04-06 08:15:00,4673.73,4678.83,4666.92,4667.37,3479,4,0
2026-04-06 08:30:00,4667.37,4669.02,4661.33,4661.55,2888,4,0
2026-04-06 08:45:00,4661.56,4667.46,4651.38,4652.68,3415,4,0
2026-04-06 09:00:00,4652.68,4661.96,4643.15,4661.01,3986,4,0
2026-04-06 09:15:00,4661.01,4662.33,4652.73,4657.37,3215,4,0
2026-04-06 09:30:00,4657.37,4660.03,4651.83,4655.63,3154,4,0
2026-04-06 09:45:00,4655.63,4667.86,4653.71,4666.07,4900,4,0
2026-04-06 10:00:00,4666.07,4666.73,4648.0,4651.92,4337,4,0
2026-04-06 10:15:00,4651.92,4655.7,4644.91,4650.79,3818,4,0
2026-04-06 10:30:00,4650.79,4665.6,4650.21,4664.43,3815,4,0
2026-04-06 10:45:00,4664.42,4688.29,4662.7,4684.85,5257,4,0
2026-04-06 11:00:00,4684.85,4694.57,4681.09,4689.78,5171,4,0
2026-04-06 11:15:00,4689.78,4695.98,4684.49,4691.43,4353,4,0
2026-04-06 11:30:00,4691.43,4695.77,4689.91,4693.18,3176,4,0
